 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
90.92	6.06554596e-10	-8.6063325e-06	1.5529883333333332e-06	8.776995833333333e-06	169.8065
90.93	6.06621309e-10	-8.571175e-06	1.8215225000000001e-06	8.750144166666666e-06	167.9125
90.94	6.06688022e-10	-8.723369166666667e-06	1.7020775e-06	8.902415e-06	168.9555
90.95	6.06754735e-10	-8.635747500000001e-06	1.8472116666666669e-06	8.8120775e-06	167.9375
90.96	6.068214479999999e-10	-8.354089166666667e-06	1.6607126666666666e-06	8.555181666666667e-06	168.9715
90.97	6.06888161e-10	-8.848399166666665e-06	1.8898191666666668e-06	9.042655833333334e-06	167.941
90.98	6.06954874e-10	-9.130435e-06	1.8698716666666668e-06	9.348365000000001e-06	168.3995
90.99	6.07021587e-10	-8.729421666666667e-06	1.7740225000000002e-06	8.891860000000001e-06	168.535
91.0	6.070883e-10	-8.864542500000001e-06	1.7893133333333335e-06	9.013864166666667e-06	168.523
91.01	6.07155013e-10	-8.452121666666665e-06	1.559123083333333e-06	8.60447e-06	169.61149999999998
91.02	6.07221726e-10	-8.213073333333334e-06	1.7990125e-06	8.425187500000001e-06	167.6915
91.03	6.07288439e-10	-8.571253333333332e-06	2.0993708333333334e-06	8.839163333333334e-06	166.1715
91.04	6.073551520000001e-10	-8.269575833333334e-06	1.6917566666666666e-06	8.456074166666667e-06	168.5065
91.05	6.07421865e-10	-8.603770833333333e-06	1.8549691666666668e-06	8.811999166666667e-06	167.8205
91.06	6.07488578e-10	-8.475403333333333e-06	1.9374716666666666e-06	8.692635e-06	167.1475
91.07	6.07555291e-10	-8.766520000000001e-06	1.934445e-06	8.983750833333333e-06	167.4675
91.08	6.076220039999999e-10	-9.200828333333333e-06	1.6427074999999998e-06	9.341765833333333e-06	169.879
91.09	6.076887169999999e-10	-8.558991666666667e-06	1.7995583333333331e-06	8.741374166666666e-06	168.09599999999998
91.1	6.077554299999999e-10	-8.569079166666666e-06	1.8504716666666666e-06	8.779869166666667e-06	167.8555
91.11	6.078221429999999e-10	-8.596475833333333e-06	1.8139158333333334e-06	8.796632499999999e-06	167.98349999999996
91.12	6.07888856e-10	-8.367215833333334e-06	1.8441066666666667e-06	8.569856666666667e-06	167.544
91.13	6.079555689999999e-10	-8.64312e-06	1.7899316666666667e-06	8.831092499999999e-06	168.317
91.14	6.080222819999999e-10	-8.424103333333333e-06	1.789155e-06	8.594458333333334e-06	167.90150000000003
91.15	6.08088995e-10	-8.4222425e-06	1.7064250000000001e-06	8.609514166666668e-06	168.6265
91.16	6.081557079999999e-10	-7.957428333333334e-06	1.5279975e-06	8.1557225e-06	169.097
91.17	6.08222421e-10	-8.793683333333333e-06	1.7169808333333336e-06	8.965434166666667e-06	168.99550000000002
91.18	6.08289134e-10	-8.633651666666669e-06	1.7400283333333333e-06	8.806721666666667e-06	168.52599999999998
91.19	6.083558469999999e-10	-8.832954166666666e-06	1.8798858333333333e-06	9.049330833333333e-06	168.05549999999997
91.2	6.0842256e-10	-8.218818333333334e-06	1.6939308333333332e-06	8.422238333333334e-06	168.463
91.21	6.084892729999999e-10	-8.99648e-06	1.8472116666666664e-06	9.181113333333333e-06	168.48199999999997
91.22	6.08555986e-10	-8.542614166666667e-06	1.6752258333333334e-06	8.6844875e-06	168.8905
91.23	6.08622699e-10	-8.8268225e-06	1.8112783333333335e-06	9.028843333333333e-06	168.39149999999998
91.24	6.086894119999999e-10	-8.499308333333333e-06	1.6332383333333334e-06	8.667723333333333e-06	169.0265
91.25	6.08756125e-10	-8.3593e-06	1.61298e-06	8.500860833333334e-06	168.99749999999997
91.26	6.08822838e-10	-8.7242225e-06	1.7341325e-06	8.894421666666666e-06	168.70950000000002
91.27	6.08889551e-10	-8.5803325e-06	1.7026999999999998e-06	8.747506666666667e-06	168.7705
91.28	6.08956264e-10	-9.00354e-06	1.7467816666666667e-06	9.178939999999999e-06	168.949
91.29	6.09022977e-10	-8.602065e-06	1.8087941666666666e-06	8.781730833333334e-06	168.1385
91.3	6.0908969e-10	-8.62232e-06	1.699438333333333e-06	8.796865833333334e-06	168.761
91.31	6.09156403e-10	-8.672611666666667e-06	1.7361508333333333e-06	8.809592499999999e-06	168.66150000000002
91.32	6.09223116e-10	-8.458714166666667e-06	1.9593583333333335e-06	8.682701666666666e-06	166.916
91.33	6.09289829e-10	-8.503809166666666e-06	1.8274991666666664e-06	8.705440833333334e-06	167.9135
91.34	6.09356542e-10	-8.986700833333333e-06	1.922028333333333e-06	9.202924166666667e-06	167.9805
91.35	6.09423255e-10	-8.856005e-06	1.827033333333333e-06	9.000358333333333e-06	168.3515
91.36	6.09489968e-10	-8.385760833333334e-06	1.6564433333333334e-06	8.571405e-06	168.7375
91.37	6.09556681e-10	-8.358054166666666e-06	1.7812408333333333e-06	8.550298333333334e-06	167.936
91.38	6.096233939999999e-10	-8.706295e-06	1.8309916666666666e-06	8.9118075e-06	168.148
91.39	6.096901069999999e-10	-8.32096e-06	1.7067358333333335e-06	8.505826666666667e-06	168.33050000000003
91.4	6.0975682e-10	-8.346260833333335e-06	1.9007633333333332e-06	8.604470833333333e-06	167.172
91.41	6.098235329999999e-10	-8.541374166666668e-06	1.9526825e-06	8.756664166666667e-06	167.1095
91.42	6.098902459999999e-10	-8.364189166666667e-06	1.57697e-06	8.52329e-06	169.3065
91.43	6.09956959e-10	-8.437919166666664e-06	1.6204333333333332e-06	8.5988825e-06	169.1785
91.44	6.100236719999999e-10	-8.746806666666667e-06	1.9031683333333336e-06	8.965977499999999e-06	167.7755
91.45	6.10090385e-10	-8.889531666666666e-06	2.0458941666666666e-06	9.121974166666667e-06	167.057
91.46	6.101570979999999e-10	-8.417585e-06	1.9998716666666666e-06	8.684099166666666e-06	166.64899999999997
91.47	6.102238109999999e-10	-8.584369166666667e-06	1.8153141666666667e-06	8.788794166666666e-06	168.076
91.48	6.10290524e-10	-8.782506666666665e-06	1.9470941666666668e-06	8.968925833333333e-06	167.47
91.49	6.103572369999999e-10	-8.836059166666666e-06	1.9914866666666666e-06	9.073235e-06	167.3545
91.5	6.1042395e-10	-8.821546666666667e-06	1.907825833333333e-06	9.031248333333334e-06	167.815
91.51	6.10490663e-10	-8.619370833333333e-06	1.6829083333333332e-06	8.760000833333334e-06	168.8485
91.52	6.105573759999999e-10	-8.273537499999999e-06	1.8604058333333332e-06	8.482389166666667e-06	167.42600000000002
91.53	6.10624089e-10	-8.131353333333334e-06	1.6330833333333336e-06	8.332443333333334e-06	168.7395
91.54	6.10690802e-10	-8.802530833333334e-06	1.8121308333333334e-06	9.014871666666668e-06	168.35199999999998
91.55	6.10757515e-10	-8.755031666666666e-06	1.7147275e-06	8.930044999999999e-06	168.826
91.56	6.10824228e-10	-8.143698333333332e-06	1.5212466666666664e-06	8.279594166666666e-06	169.3305
91.57	6.108909409999999e-10	-8.825583333333334e-06	1.6350225000000001e-06	8.979403333333334e-06	169.5275
91.58	6.10957654e-10	-8.657319999999999e-06	1.8627316666666667e-06	8.861049166666666e-06	167.92350000000002
91.59	6.11024367e-10	-9.031249166666666e-06	1.7017666666666668e-06	9.190969166666667e-06	169.3285
91.6	6.1109108e-10	-8.619133333333334e-06	2.0219141666666666e-06	8.851577500000002e-06	166.9745
91.61	6.11157793e-10	-8.659185e-06	1.7784466666666667e-06	8.846614166666668e-06	168.3425
91.62	6.11224506e-10	-8.270125833333334e-06	1.8282733333333332e-06	8.500161666666668e-06	167.53199999999998
91.63	6.11291219e-10	-8.3504525e-06	1.5482541666666666e-06	8.50808e-06	169.542
91.64	6.11357932e-10	-8.5987275e-06	1.5604390000000001e-06	8.735089166666667e-06	169.66799999999998
91.65	6.11424645e-10	-8.494878333333334e-06	1.8498475000000002e-06	8.6850275e-06	167.649
91.66	6.11491358e-10	-8.800824166666668e-06	1.9126383333333335e-06	8.975911666666666e-06	167.796
91.67	6.115580709999999e-10	-8.367209999999999e-06	1.762458333333333e-06	8.546961666666668e-06	168.08249999999998
91.68	6.11624784e-10	-8.572261666666667e-06	2.0984366666666665e-06	8.838465833333332e-06	166.3545
91.69	6.116914969999999e-10	-8.525464166666668e-06	1.9155866666666666e-06	8.780258333333335e-06	167.549
91.7	6.1175821e-10	-8.235120833333333e-06	1.5028516666666666e-06	8.375442499999999e-06	169.53599999999997
91.71	6.118249229999999e-10	-8.708779166666666e-06	1.7730908333333332e-06	8.944712500000002e-06	168.5185
91.72	6.118916359999999e-10	-8.396784166666667e-06	1.96844e-06	8.644050833333334e-06	166.876
91.73	6.11958349e-10	-8.975910833333333e-06	1.8801166666666667e-06	9.135633333333335e-06	168.0805
91.74	6.120250619999999e-10	-8.530662499999999e-06	1.88982e-06	8.731283333333334e-06	167.6635
91.75	6.120917749999999e-10	-8.329419166666665e-06	1.7763500000000002e-06	8.502646666666666e-06	167.846
91.76	6.12158488e-10	-8.825039166666668e-06	1.9544716666666666e-06	9.056084166666667e-06	167.3685
91.77	6.122252009999999e-10	-8.928649166666667e-06	2.0829941666666666e-06	9.17056e-06	166.77599999999998
91.78	6.12291914e-10	-8.384833333333333e-06	1.9758908333333334e-06	8.636988333333334e-06	166.891
91.79	6.12358627e-10	-8.333611666666666e-06	1.6356424999999999e-06	8.4743175e-06	168.86800000000002
91.8	6.124253399999999e-10	-9.352710833333333e-06	1.8399924999999999e-06	9.5395175e-06	168.8135
91.81	6.12492053e-10	-8.489995e-06	1.7405741666666668e-06	8.667102499999999e-06	168.496
91.82	6.125587659999999e-10	-8.623174166666666e-06	1.6673875e-06	8.782818333333334e-06	169.11350000000002
